unit_id,target_audience,grammar_focus,vocabulary_theme,total_words,word_urdu,word_roman,meaning_eng,grammatical_type,gender,root_origin,audio_slug,confusing_forms,sentence_urdu,sentence_roman,tokenized_sentence,distractors,translation
UNIT_01,Type A,Basic Letters & Sounds,Everyday Objects,20,کتاب,kitaab,book,Adjective,F,English,vocab_everydayobjects_kitaab_01.mp3,کتابوں|کتابا,میں کتاب استعمال کرتا ہوں۔,main kitaab istemaal karta hoon.,میں:false|کتاب:true|استعمال:false|کرتا:false|ہوں۔:false,کتاب|کرسی|میز,I use book.
UNIT_01,Type A,Basic Letters & Sounds,Everyday Objects,20,کرسی,kursi,chair,Verb,M,Persian,vocab_everydayobjects_kursi_02.mp3,کرسیوں|کرسیا,میں کرسی استعمال کرتا ہوں۔,main kursi istemaal karta hoon.,میں:false|کرسی:true|استعمال:false|کرتا:false|ہوں۔:false,کتاب|کرسی|میز,I use chair.
UNIT_01,Type A,Basic Letters & Sounds,Everyday Objects,20,میز,maiz,table,Adverb,M,Persian,vocab_everydayobjects_maiz_03.mp3,میزوں|میزا,میں میز استعمال کرتا ہوں۔,main maiz istemaal karta hoon.,میں:false|میز:true|استعمال:false|کرتا:false|ہوں۔:false,کتاب|کرسی|میز,I use table.
UNIT_01,Type A,Basic Letters & Sounds,Everyday Objects,20,قلم,qalam,pen,Noun,F,Hindi/Sanskrit,vocab_everydayobjects_qalam_04.mp3,قلموں|قلما,میں قلم استعمال کرتا ہوں۔,main qalam istemaal karta hoon.,میں:false|قلم:true|استعمال:false|کرتا:false|ہوں۔:false,کتاب|کرسی|میز,I use pen.
UNIT_01,Type A,Basic Letters & Sounds,Everyday Objects,20,کاغذ,kaaghaz,paper,Verb,M,Persian,vocab_everydayobjects_kaaghaz_05.mp3,کاغذوں|کاغذا,میں کاغذ استعمال کرتا ہوں۔,main kaaghaz istemaal karta hoon.,میں:false|کاغذ:true|استعمال:false|کرتا:false|ہوں۔:false,کتاب|کرسی|میز,I use paper.
UNIT_01,Type A,Basic Letters & Sounds,Everyday Objects,20,بجلی,bijli,electricity,Verb,F,Persian,vocab_everydayobjects_bijli_06.mp3,بجلیوں|بجلیا,میں بجلی استعمال کرتا ہوں۔,main bijli istemaal karta hoon.,میں:false|بجلی:true|استعمال:false|کرتا:false|ہوں۔:false,کتاب|کرسی|میز,I use electricity.
UNIT_01,Type A,Basic Letters & Sounds,Everyday Objects,20,بیگ,bag,bag,Adverb,M,Persian,vocab_everydayobjects_bag_07.mp3,بیگوں|بیگا,میں بیگ استعمال کرتا ہوں۔,main bag istemaal karta hoon.,میں:false|بیگ:true|استعمال:false|کرتا:false|ہوں۔:false,کتاب|کرسی|میز,I use bag.
UNIT_01,Type A,Basic Letters & Sounds,Everyday Objects,20,چابی,chaabi,key,Adjective,M,Arabic,vocab_everydayobjects_chaabi_08.mp3,چابیوں|چابیا,میں چابی استعمال کرتا ہوں۔,main chaabi istemaal karta hoon.,میں:false|چابی:true|استعمال:false|کرتا:false|ہوں۔:false,کتاب|کرسی|میز,I use key.
UNIT_01,Type A,Basic Letters & Sounds,Everyday Objects,20,موبائل,mobile,mobile phone,Noun,F,Persian,vocab_everydayobjects_mobile_09.mp3,موبائلوں|موبائلا,میں موبائل استعمال کرتا ہوں۔,main mobile istemaal karta hoon.,میں:false|موبائل:true|استعمال:false|کرتا:false|ہوں۔:false,کتاب|کرسی|میز,I use mobile phone.
UNIT_01,Type A,Basic Letters & Sounds,Everyday Objects,20,گلاس,gilaas,glass,Noun,F,Arabic,vocab_everydayobjects_gilaas_10.mp3,گلاسوں|گلاسا,میں گلاس استعمال کرتا ہوں۔,main gilaas istemaal karta hoon.,میں:false|گلاس:true|استعمال:false|کرتا:false|ہوں۔:false,کتاب|کرسی|میز,I use glass.
